mission_time_s,velocity_ms,altitude_km
0,0.277,0
0.033,0.277,0
0.067,0.555,0
0.1,0.555,0
0.133,0.555,0
0.166,0.555,0
0.2,0.833,0
0.233,0.833,0
0.267,0.833,0
0.3,0.833,0
0.332,1.111,0
0.366,1.111,0
0.4,1.111,0
0.433,1.111,0
0.465,1.111,0
0.5,1.388,0
0.532,1.388,0
0.567,1.388,0
0.6,1.388,0
0.633,1.388,0
0.666,1.388,0
0.7,1.388,0
0.733,1.666,0
0.766,1.666,0
0.799,1.666,0
0.833,1.666,0
0.866,1.666,0
0.9,1.666,0
0.932,1.666,0
0.966,1.666,0
0.999,1.666,0
1.033,1.944,0
1.067,1.944,0
1.1,1.944,0
1.133,1.944,0
1.167,1.944,0
1.2,1.944,0
1.233,1.944,0
1.267,2.222,0
1.3,2.222,0
1.333,2.222,0
1.367,2.222,0
1.4,2.5,0
1.433,2.5,0
1.467,2.5,0
1.5,2.5,0
1.533,2.777,0
1.567,2.777,0
1.6,2.777,0
1.633,2.777,0
1.667,2.5,0
1.7,2.5,0
1.733,2.5,0
1.767,2.5,0
1.8,2.777,0
1.833,2.777,0
1.867,2.777,0
1.9,2.777,0
1.933,3.055,0
1.967,3.055,0
2,3.055,0
2.033,3.333,0
2.067,3.333,0
2.1,3.333,0
2.133,3.611,0
2.167,3.611,0
2.2,3.611,0
2.233,3.888,0
2.267,3.888,0
2.3,3.888,0
2.333,3.888,0
2.367,4.166,0
2.4,4.166,0
2.433,4.166,0
2.467,4.166,0
2.5,4.444,0
2.533,4.444,0
2.567,4.722,0
2.6,4.722,0
2.633,5,0
2.667,5,0
2.7,5.277,0
2.733,5.277,0
2.767,5.277,0
2.8,5.555,0
2.833,5.833,0
2.866,5.833,0
2.9,6.111,0
2.933,6.111,0
2.966,6.388,0
3,6.388,0
3.033,6.666,0
3.066,6.666,0
3.1,6.944,0
3.133,6.944,0
3.166,6.944,0
3.2,7.222,0
3.233,7.222,0
3.266,7.5,0
3.3,7.777,0
3.333,7.777,0
3.366,7.777,0
3.4,8.055,0
3.433,8.333,0
3.466,8.333,0
3.5,8.611,0
3.533,8.611,0
3.566,8.888,0
3.6,8.888,0
3.633,9.166,0
3.666,9.166,0
3.7,9.444,0
3.733,9.444,0
3.766,9.444,0
3.8,9.722,0
3.833,9.722,0
3.866,10,0
3.9,10,0
3.933,10.277,0
3.966,10.277,0
4,10.555,0
4.032,10.555,0
4.066,10.555,0
4.1,10.833,0
4.133,11.111,0
4.165,11.111,0
4.199,11.388,0
4.233,11.388,0
4.266,11.388,0
4.3,11.666,0
4.332,11.666,0
4.366,11.944,0
4.399,11.944,0
4.433,11.944,0
4.465,12.222,0
4.5,12.222,0
4.532,12.5,0
4.566,12.5,0
4.6,12.777,0
4.633,12.777,0
4.665,13.055,0
4.699,13.055,0
4.733,13.333,0
4.766,13.333,0
4.8,13.611,0
4.832,13.611,0
4.866,13.888,0
4.899,13.888,0
4.933,14.166,0
4.965,14.166,0
5,14.166,0
5.032,14.444,0
